[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/kropotkin/toxic_text_classification
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | WARNING] Clearing invalid/expired login cookie username-localhost-8888
[NotebookApp | WARNING] Clearing invalid/expired login cookie username-localhost-8888
[NotebookApp | INFO] 302 GET /tree (127.0.0.1) 4.10ms
[NotebookApp | INFO] interrupted
[NotebookApp | CRITICAL] Shutdown confirmed
[NotebookApp | INFO] Shutting down 0 kernels
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/kropotkin/toxic_text_classification
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET /tree (127.0.0.1) 2.25ms
[NotebookApp | INFO] 302 POST /login?next=%2Ftree (127.0.0.1) 3.89ms
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | WARNING] 404 GET /nbextensions/jupyter-autopep8-master/jupyter-autopep8.js?v=20190513123008 (127.0.0.1) 8.86ms referer=http://localhost:8888/notebooks/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | WARNING] 404 GET /nbextensions/widgets/notebook/js/extension.js?v=20190513123008 (127.0.0.1) 2.05ms referer=http://localhost:8888/notebooks/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Starting buffering for 8f44b08d-7b10-4936-abec-10bfa599fa67:291ee9575f26445ea2cbe96594e303df
[NotebookApp | INFO] Kernel restarted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Restoring connection for 8f44b08d-7b10-4936-abec-10bfa599fa67:291ee9575f26445ea2cbe96594e303df
[NotebookApp | INFO] Replaying 5 buffered messages
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] KernelRestarter: restarting kernel (1/5), keep random ports
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Kernel interrupted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] KernelRestarter: restarting kernel (1/5), keep random ports
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Starting buffering for 8f44b08d-7b10-4936-abec-10bfa599fa67:291ee9575f26445ea2cbe96594e303df
[NotebookApp | INFO] Kernel restarted: 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 8f44b08d-7b10-4936-abec-10bfa599fa67
[NotebookApp | INFO] Restoring connection for 8f44b08d-7b10-4936-abec-10bfa599fa67:291ee9575f26445ea2cbe96594e303df
[NotebookApp | INFO] Replaying 6 buffered messages
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /logistic_regression_vectorizer.ipynb
[NotebookApp | INFO] Starting buffering for 8f44b08d-7b10-4936-abec-10bfa599fa67:291ee9575f26445ea2cbe96594e303df
[NotebookApp | INFO] Kernel shutdown: 8f44b08d-7b10-4936-abec-10bfa599fa67
